Timestamp,z_axis_rms_velocity_mm_sec,x_axis_rms_velocity_mm_sec,z_axis_peak_acceleration_g,x_axis_peak_acceleration_g,high_frequency_rms_acceleration_g,z_axis_kurtosis,x_axis_kurtosis,z_axis_crest_factor,x_axis_crest_factor,peak_velocity_component_freq_hz,temperature_c,iso_health_zone,data_source
2026-01-01 00:38:00,2.29,1.52,3.21,2.23,0.34,3.17,2.69,9.35,29.43,24.5,51.72,ZONE_A,synthetic
2026-01-01 00:39:00,2.22,1.59,3.24,2.24,0.33,3.31,2.9,9.72,28.17,25.2,48.22,ZONE_A,synthetic
2026-01-01 00:40:00,4.31,3.02,6.28,4.31,0.65,3.3,2.81,9.71,28.6,33.2,47.38,ZONE_B,synthetic
2026-01-01 00:41:00,2.4,1.52,3.5,2.34,0.36,3.23,2.57,9.72,30.79,33.7,44.3,ZONE_A,synthetic
2026-01-01 00:42:00,2.4,1.4,3.53,2.36,0.36,3.19,2.59,9.83,33.72,30.5,44.72,ZONE_A,synthetic
2026-01-01 00:43:00,0.32,0.13,0.48,0.19,0.03,2.75,2.86,15.0,18.87,0.0,35.31,ZONE_A,synthetic
2026-01-01 00:44:00,2.42,1.52,3.34,2.15,0.36,3.14,2.58,9.18,28.22,39.8,43.08,ZONE_A,synthetic
2026-01-01 00:45:00,2.3,1.45,3.15,2.07,0.34,3.14,2.72,9.13,28.52,36.2,43.43,ZONE_A,synthetic
2026-01-01 00:46:00,5.34,3.68,7.71,5.29,0.8,3.23,2.81,9.63,28.75,41.8,44.49,ZONE_B,synthetic
2026-01-01 00:47:00,2.39,1.93,3.31,2.66,0.36,3.26,2.98,9.22,27.56,38.1,45.01,ZONE_A,synthetic
2026-01-01 00:48:00,0.3,0.14,0.44,0.22,0.03,3.36,3.34,15.0,21.61,0.0,34.29,ZONE_A,synthetic
2026-01-01 00:49:00,5.23,3.87,7.71,5.62,0.79,2.88,2.64,9.81,29.06,40.3,44.08,ZONE_B,synthetic
2026-01-01 00:50:00,2.49,1.8,3.71,2.89,0.37,2.75,2.44,9.93,32.11,33.9,44.13,ZONE_A,synthetic
2026-01-01 00:51:00,2.41,1.71,3.66,2.48,0.36,2.6,2.1,10.13,29.0,35.2,43.62,ZONE_A,synthetic
2026-01-01 00:52:00,0.28,0.11,0.41,0.17,0.03,2.7,2.93,15.0,16.88,0.0,35.74,ZONE_A,synthetic
2026-01-01 00:53:00,2.4,1.58,3.76,2.72,0.36,2.39,2.05,10.47,34.44,39.6,45.06,ZONE_A,synthetic
2026-01-01 00:54:00,2.33,1.77,3.87,2.99,0.35,2.74,2.56,11.1,33.79,35.2,44.22,ZONE_A,synthetic
2026-01-01 00:55:00,5.03,3.97,7.8,5.87,0.75,2.7,2.66,10.34,29.54,37.1,44.01,ZONE_B,synthetic
2026-01-01 00:56:00,2.32,1.89,3.95,2.98,0.35,2.61,2.46,11.32,31.6,34.0,44.61,ZONE_A,synthetic
2026-01-01 00:57:00,2.59,2.02,4.28,3.24,0.39,2.71,2.54,11.0,32.15,35.7,46.9,ZONE_A,synthetic
2026-01-01 00:58:00,0.29,0.12,0.44,0.18,0.03,3.29,3.21,15.0,18.19,0.0,32.5,ZONE_A,synthetic
2026-01-01 00:59:00,2.56,2.03,4.21,3.17,0.38,2.61,2.24,10.98,31.17,42.4,44.87,ZONE_A,synthetic
2026-01-01 01:00:00,2.64,1.97,4.4,3.08,0.4,2.58,2.19,11.1,31.24,46.2,44.04,ZONE_A,synthetic
2026-01-01 01:01:00,4.97,3.48,7.85,5.48,0.75,2.58,2.17,10.53,31.47,52.4,41.73,ZONE_B,synthetic
2026-01-01 01:02:00,2.53,1.82,4.04,2.83,0.38,2.95,2.49,10.65,31.15,37.6,42.15,ZONE_A,synthetic
2026-01-01 01:03:00,2.76,1.83,4.27,2.94,0.41,2.8,2.3,10.31,32.04,35.1,42.98,ZONE_A,synthetic
2026-01-01 01:04:00,4.32,2.85,6.51,4.64,0.65,2.7,2.28,10.06,32.58,31.2,42.68,ZONE_B,synthetic
2026-01-01 01:05:00,2.61,1.94,3.84,2.97,0.39,2.48,2.19,9.82,30.55,33.9,44.96,ZONE_A,synthetic
2026-01-01 01:06:00,0.19,0.1,0.28,0.15,0.02,3.07,3.03,15.0,15.13,0.0,31.53,ZONE_A,synthetic
2026-01-01 01:07:00,2.63,1.85,3.93,2.93,0.39,2.73,2.45,9.98,31.72,42.3,43.97,ZONE_A,synthetic
2026-01-01 01:08:00,0.17,0.05,0.25,0.08,0.02,3.07,2.95,15.0,7.62,0.0,32.11,ZONE_A,synthetic
2026-01-01 01:09:00,0.1,0.07,0.16,0.1,0.01,3.01,2.88,15.0,10.06,0.0,32.44,ZONE_A,synthetic
2026-01-01 01:10:00,2.62,1.87,4.02,2.75,0.39,2.78,2.41,10.23,29.49,39.3,47.33,ZONE_A,synthetic
2026-01-01 01:11:00,0.12,0.09,0.18,0.13,0.01,2.88,2.88,15.0,12.81,0.0,32.39,ZONE_A,synthetic
2026-01-01 01:12:00,0.02,0.09,0.03,0.13,0.0,2.84,2.7,3.44,13.44,0.0,31.14,ZONE_A,synthetic
2026-01-01 01:13:00,0.16,0.11,0.24,0.17,0.02,2.64,2.76,15.0,16.52,0.0,30.56,ZONE_A,synthetic
2026-01-01 01:14:00,0.26,0.11,0.38,0.16,0.03,2.82,2.91,15.0,16.43,0.0,29.03,ZONE_A,synthetic
2026-01-01 01:15:00,2.42,1.73,3.61,2.67,0.36,2.77,2.52,9.96,30.83,39.4,39.33,ZONE_A,synthetic
2026-01-01 01:16:00,4.71,3.5,7.07,5.04,0.71,2.8,2.56,10.02,28.79,36.4,40.06,ZONE_B,synthetic
2026-01-01 01:17:00,2.6,1.93,3.9,2.66,0.39,2.93,2.46,10.01,27.57,29.0,41.01,ZONE_A,synthetic
2026-01-01 01:18:00,2.31,1.6,3.41,2.36,0.35,2.76,2.34,9.82,29.47,29.9,39.16,ZONE_A,synthetic
2026-01-01 01:19:00,0.24,0.12,0.36,0.18,0.02,2.82,2.69,15.0,17.61,0.0,25.04,ZONE_A,synthetic
2026-01-01 01:20:00,0.23,0.11,0.34,0.17,0.02,2.72,2.77,15.0,17.2,0.0,26.23,ZONE_A,synthetic
2026-01-01 01:21:00,2.42,1.64,3.57,2.43,0.36,2.86,2.43,9.85,29.57,30.9,42.19,ZONE_A,synthetic
2026-01-01 01:22:00,2.68,2.04,3.71,2.73,0.4,3.1,2.66,9.23,26.83,25.0,40.14,ZONE_A,synthetic
2026-01-01 01:23:00,4.66,3.09,6.74,4.65,0.7,3.14,2.5,9.65,30.05,26.5,39.15,ZONE_B,synthetic
2026-01-01 01:24:00,2.48,1.58,3.48,2.37,0.37,2.78,2.27,9.33,30.0,29.5,37.49,ZONE_A,synthetic
2026-01-01 01:25:00,0.1,0.13,0.15,0.19,0.01,2.97,3.04,15.0,18.93,0.0,23.89,ZONE_A,synthetic
2026-01-01 01:26:00,2.41,1.74,3.27,2.19,0.36,2.73,2.12,9.05,25.21,26.0,36.38,ZONE_A,synthetic
2026-01-01 01:27:00,2.57,1.75,3.56,2.5,0.39,2.85,2.56,9.23,28.61,24.0,37.65,ZONE_A,synthetic
2026-01-01 01:28:00,0.24,0.09,0.36,0.14,0.02,3.03,3.08,15.0,13.67,0.0,26.16,ZONE_A,synthetic
2026-01-01 01:29:00,2.59,1.84,3.6,2.49,0.39,2.89,2.42,9.27,27.15,19.2,34.82,ZONE_A,synthetic
2026-01-01 01:30:00,2.39,1.59,3.33,2.37,0.36,2.45,2.24,9.31,29.76,31.6,31.43,ZONE_A,synthetic
2026-01-01 01:31:00,0.21,0.07,0.32,0.1,0.02,3.19,3.16,15.0,10.23,0.0,22.51,ZONE_A,synthetic
2026-01-01 01:32:00,2.5,2.03,3.64,2.71,0.37,2.34,2.08,9.71,26.66,34.6,29.06,ZONE_A,synthetic
2026-01-01 01:33:00,2.42,1.74,3.5,2.35,0.36,2.23,1.9,9.64,26.96,44.5,30.2,ZONE_A,synthetic
2026-01-01 01:34:00,4.39,3.14,6.47,4.44,0.66,2.61,2.02,9.82,28.34,40.3,31.58,ZONE_B,synthetic
2026-01-01 01:35:00,0.23,0.08,0.34,0.12,0.02,2.78,2.77,15.0,12.02,0.0,23.85,ZONE_A,synthetic
2026-01-01 01:36:00,2.65,1.61,3.91,2.42,0.4,2.68,2.11,9.84,30.04,48.0,32.09,ZONE_A,synthetic
2026-01-01 01:37:00,2.65,1.64,4.14,2.66,0.4,3.21,2.38,10.41,32.36,58.9,32.29,ZONE_A,synthetic
2026-01-01 01:38:00,2.9,1.9,4.61,3.08,0.44,3.64,2.9,10.6,32.42,62.7,33.14,ZONE_B,synthetic
2026-01-01 01:39:00,3.0,2.04,4.59,3.35,0.45,3.52,3.06,10.22,32.9,61.9,33.11,ZONE_B,synthetic
2026-01-01 01:40:00,0.19,0.09,0.28,0.14,0.02,3.07,3.07,15.0,13.87,0.0,22.49,ZONE_A,synthetic
2026-01-01 01:41:00,0.18,0.11,0.26,0.16,0.02,2.92,3.15,15.0,16.45,0.0,23.9,ZONE_A,synthetic
2026-01-01 01:42:00,2.95,2.2,4.44,3.28,0.44,3.22,2.79,10.04,29.77,61.1,36.85,ZONE_B,synthetic
2026-01-01 01:43:00,2.55,1.68,3.93,2.65,0.38,3.02,2.44,10.27,31.57,59.1,35.41,ZONE_A,synthetic
2026-01-01 01:44:00,0.23,0.14,0.34,0.21,0.02,2.93,3.08,15.0,20.55,0.0,25.12,ZONE_A,synthetic
2026-01-01 01:45:00,2.67,1.73,4.1,2.66,0.4,3.0,2.32,10.25,30.83,60.5,36.8,ZONE_A,synthetic
2026-01-01 01:46:00,2.84,1.82,4.35,2.93,0.43,3.24,2.57,10.19,32.16,58.3,37.11,ZONE_B,synthetic
2026-01-01 01:47:00,0.24,0.11,0.36,0.16,0.02,2.89,2.88,15.0,16.3,0.0,28.65,ZONE_A,synthetic
2026-01-01 01:48:00,2.61,1.86,4.1,3.01,0.39,3.37,3.12,10.48,32.39,46.5,39.23,ZONE_A,synthetic
2026-01-01 01:49:00,2.56,1.98,3.99,2.8,0.38,3.34,2.9,10.38,28.32,48.5,37.62,ZONE_A,synthetic
2026-01-01 01:50:00,2.64,1.86,4.13,2.85,0.4,3.27,2.69,10.43,30.68,56.5,37.31,ZONE_A,synthetic
2026-01-01 01:51:00,4.47,3.13,6.81,4.83,0.67,3.16,2.63,10.16,30.84,54.0,37.35,ZONE_B,synthetic
2026-01-01 01:52:00,0.26,0.14,0.39,0.21,0.03,3.05,2.87,15.0,20.52,0.0,29.62,ZONE_A,synthetic
2026-01-01 01:53:00,0.29,0.12,0.44,0.19,0.03,2.98,3.12,15.0,18.69,0.0,29.1,ZONE_A,synthetic
2026-01-01 01:54:00,2.36,1.67,3.7,2.67,0.35,3.1,2.57,10.45,31.96,51.6,36.92,ZONE_A,synthetic
2026-01-01 01:55:00,2.31,1.53,3.56,2.5,0.35,3.26,2.81,10.27,32.68,44.3,37.41,ZONE_A,synthetic
2026-01-01 01:56:00,0.3,0.14,0.45,0.21,0.03,3.07,2.97,15.0,21.16,0.0,26.45,ZONE_A,synthetic
2026-01-01 01:57:00,2.35,1.54,3.63,2.5,0.35,3.01,2.64,10.31,32.38,38.7,38.17,ZONE_A,synthetic
2026-01-01 01:58:00,5.19,3.74,7.86,5.72,0.78,2.36,2.27,10.1,30.64,41.6,36.24,ZONE_B,synthetic
2026-01-01 01:59:00,2.4,1.92,3.74,2.73,0.36,2.45,1.98,10.39,28.47,44.7,36.45,ZONE_A,synthetic
2026-01-01 02:00:00,2.42,1.62,3.74,2.62,0.36,2.78,2.35,10.31,32.47,37.4,37.14,ZONE_A,synthetic
2026-01-01 02:01:00,2.35,1.59,3.58,2.38,0.35,2.59,2.0,10.17,30.05,27.4,38.27,ZONE_A,synthetic
2026-01-01 02:02:00,6.23,4.26,9.51,6.41,0.94,2.92,2.44,10.17,30.1,33.1,36.67,ZONE_B,synthetic
2026-01-01 02:03:00,1.92,1.44,3.06,2.29,0.29,2.88,2.62,10.63,31.82,36.0,36.42,ZONE_A,synthetic
2026-01-01 02:04:00,1.8,1.31,2.8,2.05,0.27,2.58,2.31,10.34,31.32,40.3,38.17,ZONE_A,synthetic
2026-01-01 02:05:00,4.49,3.16,6.74,4.72,0.67,2.76,2.28,10.01,29.91,41.0,38.65,ZONE_B,synthetic
2026-01-01 02:06:00,1.67,1.17,2.48,1.67,0.25,2.69,2.22,9.92,28.5,44.9,39.94,ZONE_A,synthetic
2026-01-01 02:07:00,1.97,1.2,2.8,1.81,0.3,2.9,2.35,9.5,30.13,46.0,40.11,ZONE_A,synthetic
2026-01-01 02:08:00,5.12,3.51,7.57,5.19,0.77,2.97,2.53,9.85,29.51,46.5,38.87,ZONE_B,synthetic
2026-01-01 02:09:00,2.02,1.48,2.84,1.89,0.3,3.04,2.48,9.36,25.5,42.6,40.54,ZONE_A,synthetic
2026-01-01 02:10:00,2.14,1.35,3.07,1.83,0.32,2.82,2.19,9.56,26.99,37.2,37.31,ZONE_A,synthetic
2026-01-01 02:11:00,1.99,1.19,2.82,1.87,0.3,2.47,2.22,9.45,31.45,31.3,37.34,ZONE_A,synthetic
2026-01-01 02:12:00,4.28,3.07,6.27,4.39,0.64,2.4,2.04,9.76,28.58,30.1,35.84,ZONE_B,synthetic
2026-01-01 02:13:00,0.28,0.15,0.42,0.22,0.03,3.11,3.21,15.0,21.83,0.0,24.44,ZONE_A,synthetic
2026-01-01 02:14:00,1.87,1.56,2.59,1.98,0.28,2.23,2.03,9.22,25.36,23.0,38.0,ZONE_A,synthetic
2026-01-01 02:15:00,0.27,0.1,0.41,0.15,0.03,3.15,3.1,15.0,15.49,0.0,24.73,ZONE_A,synthetic
2026-01-01 02:16:00,1.76,1.39,2.51,1.63,0.26,2.43,2.03,9.51,23.6,33.5,37.05,ZONE_A,synthetic
2026-01-01 02:17:00,3.6,2.39,5.34,3.68,0.54,2.51,2.06,9.9,30.85,32.7,37.6,ZONE_B,synthetic
2026-01-01 02:18:00,0.27,0.1,0.41,0.15,0.03,3.08,3.1,15.0,15.23,0.0,26.42,ZONE_A,synthetic
2026-01-01 02:19:00,1.78,1.28,2.66,1.71,0.27,2.73,2.32,9.96,26.81,35.8,38.89,ZONE_A,synthetic
2026-01-01 02:20:00,2.04,1.62,2.96,2.04,0.31,2.86,2.42,9.68,25.21,41.4,37.14,ZONE_A,synthetic
2026-01-01 02:21:00,2.02,1.48,2.87,1.91,0.3,2.8,2.27,9.47,25.73,32.0,36.24,ZONE_A,synthetic
2026-01-01 02:22:00,3.74,2.51,5.43,3.64,0.56,2.78,2.19,9.69,29.02,30.9,37.89,ZONE_B,synthetic
2026-01-01 02:23:00,0.35,0.09,0.52,0.13,0.03,2.85,2.87,15.0,13.38,0.0,24.28,ZONE_A,synthetic
2026-01-01 02:24:00,0.29,0.08,0.44,0.12,0.03,2.97,2.86,15.0,12.07,0.0,23.73,ZONE_A,synthetic
2026-01-01 02:25:00,1.77,1.2,2.51,1.9,0.27,2.67,2.51,9.48,31.71,40.7,37.05,ZONE_A,synthetic
2026-01-01 02:26:00,1.72,1.3,2.63,1.76,0.26,2.59,2.0,10.19,27.14,40.4,37.86,ZONE_A,synthetic
2026-01-01 02:27:00,0.2,0.08,0.3,0.12,0.02,2.77,2.76,15.0,12.35,0.0,24.68,ZONE_A,synthetic
2026-01-01 02:28:00,1.56,0.82,2.38,1.34,0.23,2.64,1.97,10.15,32.83,43.9,36.49,ZONE_A,synthetic
2026-01-01 02:29:00,0.21,0.11,0.32,0.17,0.02,2.74,2.83,15.0,16.96,0.0,23.51,ZONE_A,synthetic
2026-01-01 02:30:00,0.23,0.13,0.35,0.19,0.02,2.96,2.99,15.0,19.15,0.0,23.43,ZONE_A,synthetic
2026-01-01 02:31:00,0.19,0.13,0.28,0.2,0.02,3.07,3.09,15.0,19.76,0.0,23.42,ZONE_A,synthetic
2026-01-01 02:32:00,1.68,1.2,2.68,1.91,0.25,2.49,2.12,10.61,31.84,42.8,34.5,ZONE_A,synthetic
2026-01-01 02:33:00,1.76,1.29,2.84,2.09,0.26,2.36,2.1,10.78,32.41,29.4,33.3,ZONE_A,synthetic
2026-01-01 02:34:00,3.09,2.35,4.82,3.45,0.46,2.55,2.1,10.39,29.43,25.0,32.42,ZONE_B,synthetic
2026-01-01 02:35:00,0.14,0.11,0.22,0.17,0.01,2.92,2.82,15.0,16.57,0.0,20.93,ZONE_A,synthetic
2026-01-01 02:36:00,0.1,0.06,0.15,0.09,0.01,2.73,2.75,14.97,9.42,0.0,21.86,ZONE_A,synthetic
2026-01-01 02:37:00,0.08,0.07,0.12,0.1,0.01,2.77,2.79,11.76,10.3,0.0,21.57,ZONE_A,synthetic
2026-01-01 02:38:00,1.92,1.31,3.01,2.16,0.29,2.42,1.91,10.41,33.03,33.6,33.67,ZONE_A,synthetic
2026-01-01 02:39:00,1.75,1.02,2.77,1.77,0.26,2.35,1.59,10.58,34.73,29.3,31.83,ZONE_A,synthetic
2026-01-01 02:40:00,2.75,1.66,4.2,2.77,0.41,2.94,2.37,10.19,33.4,21.4,30.4,ZONE_A,synthetic
2026-01-01 02:41:00,2.42,1.71,3.76,2.59,0.36,2.9,2.39,10.35,30.27,26.5,32.88,ZONE_A,synthetic
2026-01-01 02:42:00,2.55,1.74,3.87,2.64,0.38,2.91,2.36,10.12,30.39,25.7,33.32,ZONE_A,synthetic
2026-01-01 02:43:00,3.29,2.28,4.87,3.25,0.49,2.99,2.48,9.87,28.55,31.1,35.04,ZONE_B,synthetic
2026-01-01 02:44:00,2.28,1.62,3.36,2.5,0.34,2.89,2.74,9.85,30.82,26.9,34.66,ZONE_A,synthetic
2026-01-01 02:45:00,2.54,2.14,3.76,2.94,0.38,3.04,2.91,9.87,27.47,26.1,32.24,ZONE_A,synthetic
2026-01-01 02:46:00,2.41,2.05,3.63,2.88,0.36,2.98,2.63,10.04,28.05,27.4,30.97,ZONE_A,synthetic
2026-01-01 02:47:00,3.45,2.52,5.12,3.67,0.52,2.8,2.25,9.88,29.16,24.8,29.31,ZONE_B,synthetic
2026-01-01 02:48:00,0.07,0.08,0.1,0.12,0.01,2.78,2.71,10.11,12.1,0.0,17.68,ZONE_A,synthetic
2026-01-01 02:49:00,0.0,0.05,0.0,0.08,0.0,2.76,2.74,0.44,8.2,0.0,17.15,ZONE_A,synthetic
2026-01-01 02:50:00,3.34,2.05,4.65,3.02,0.5,3.17,2.61,9.28,29.46,30.3,29.75,ZONE_B,synthetic
2026-01-01 02:51:00,2.57,1.59,3.52,2.28,0.39,2.91,2.35,9.11,28.68,29.6,26.99,ZONE_A,synthetic
2026-01-01 02:52:00,2.73,1.85,3.75,2.56,0.41,2.9,2.42,9.15,27.67,40.2,28.11,ZONE_A,synthetic
2026-01-01 02:53:00,-0.03,0.07,-0.04,0.11,-0.0,3.03,2.76,-3.88,10.78,0.0,14.96,ZONE_A,synthetic
2026-01-01 02:54:00,-0.03,0.08,-0.05,0.12,-0.0,2.79,2.74,-5.15,11.57,0.0,16.34,ZONE_A,synthetic
2026-01-01 02:55:00,-0.03,0.09,-0.05,0.13,-0.0,2.72,2.89,-4.73,13.37,0.0,16.2,ZONE_A,synthetic
2026-01-01 02:56:00,-0.01,0.1,-0.02,0.15,-0.0,2.77,2.8,-2.09,14.67,0.0,17.1,ZONE_A,synthetic
2026-01-01 02:57:00,1.91,1.11,2.67,1.62,0.29,2.99,2.48,9.31,29.22,39.9,30.43,ZONE_A,synthetic
2026-01-01 02:58:00,2.87,1.93,4.29,2.9,0.43,3.1,2.48,9.97,30.07,43.9,31.18,ZONE_B,synthetic
2026-01-01 02:59:00,0.08,0.09,0.12,0.13,0.01,2.86,2.89,12.08,13.26,0.0,16.21,ZONE_A,synthetic
2026-01-01 03:00:00,3.85,2.61,5.82,4.12,0.58,3.16,2.78,10.07,31.54,33.4,30.64,ZONE_B,synthetic
2026-01-01 03:01:00,4.54,3.32,6.93,5.02,0.68,3.27,2.86,10.17,30.27,32.4,29.91,ZONE_B,synthetic
2026-01-01 03:02:00,4.88,3.49,7.51,5.31,0.73,2.91,2.36,10.27,30.45,35.4,29.42,ZONE_B,synthetic
2026-01-01 03:03:00,5.01,3.45,7.66,5.38,0.75,2.81,2.47,10.2,31.14,36.6,28.22,ZONE_B,synthetic
2026-01-01 03:04:00,4.66,3.31,7.05,5.04,0.7,2.72,2.31,10.08,30.43,42.5,26.82,ZONE_B,synthetic
2026-01-01 03:05:00,0.1,0.07,0.16,0.11,0.01,3.14,3.06,15.0,10.83,0.0,16.16,ZONE_A,synthetic
2026-01-01 03:06:00,0.1,0.1,0.14,0.15,0.01,3.01,3.02,14.37,15.23,0.0,14.47,ZONE_A,synthetic
2026-01-01 03:07:00,0.06,0.13,0.09,0.19,0.01,3.11,3.09,9.4,19.06,0.0,15.8,ZONE_A,synthetic
2026-01-01 03:08:00,0.11,0.13,0.16,0.19,0.01,3.09,3.13,15.0,19.02,0.0,14.72,ZONE_A,synthetic
2026-01-01 03:09:00,1.38,1.0,2.17,1.4,0.21,2.64,2.27,10.49,27.82,38.7,26.97,ZONE_A,synthetic
2026-01-01 03:10:00,1.25,0.84,2.0,1.33,0.19,2.63,2.23,10.65,31.75,34.9,26.77,ZONE_A,synthetic
2026-01-01 03:11:00,3.95,2.79,5.99,4.18,0.59,2.47,2.01,10.1,30.0,36.5,26.54,ZONE_B,synthetic
2026-01-01 03:12:00,4.65,3.21,7.1,5.04,0.7,2.52,2.07,10.17,31.36,37.5,28.26,ZONE_B,synthetic
2026-01-01 03:13:00,0.97,0.44,1.5,0.84,0.15,2.36,1.8,10.34,37.78,42.2,27.96,ZONE_A,synthetic
2026-01-01 03:14:00,0.06,0.13,0.08,0.2,0.01,2.87,2.89,8.37,20.07,0.0,18.17,ZONE_A,synthetic
2026-01-01 03:15:00,0.11,0.14,0.17,0.21,0.01,2.92,2.9,15.0,21.13,0.0,16.46,ZONE_A,synthetic
2026-01-01 03:16:00,1.16,0.7,1.76,1.2,0.17,2.39,1.92,10.07,34.51,35.9,24.89,ZONE_A,synthetic
